year,month,using
2017.0,1.0,83998.0
2017.0,2.0,
2017.0,3.0,76603.0
2017.0,4.0,52939.0
2017.0,5.0,51642.0
2017.0,6.0,56136.0
2017.0,7.0,63521.0
2017.0,8.0,66437.0
2017.0,9.0,55476.0
2017.0,10.0,44690.0
2017.0,11.0,70294.0
2017.0,12.0,81183.0
2018.0,1.0,82151.0
2018.0,2.0,72449.0
2018.0,3.0,65113.0
2018.0,4.0,44998.0
2018.0,5.0,49435.0
2018.0,6.0,52609.0
2018.0,7.0,60514.0
2018.0,8.0,70926.0
2018.0,9.0,55513.0
2018.0,10.0,51356.0
2018.0,11.0,64815.0
2018.0,12.0,82510.0
2019.0,1.0,62895.0
2019.0,2.0,60334.0
2019.0,3.0,60334.0
2019.0,4.0,
2019.0,5.0,55640.0
2019.0,6.0,60469.0
2019.0,7.0,68710.0
2019.0,8.0,75481.0
2019.0,9.0,57750.0
2019.0,10.0,50299.0
2019.0,11.0,60768.0
2019.0,12.0,77021.0
2020.0,1.0,79959.0
2020.0,2.0,74020.0
2020.0,3.0,72854.0
2020.0,4.0,62632.0
2020.0,5.0,51737.0
2020.0,6.0,63271.0
2020.0,7.0,61456.0
2020.0,8.0,76562.0
2020.0,9.0,59113.0
2020.0,10.0,53461.0
2020.0,11.0,60613.0
2020.0,12.0,70256.0
2021.0,1.0,91427.0
2021.0,2.0,75979.0
2021.0,3.0,65907.0
2021.0,4.0,55472.0
2021.0,5.0,49558.0
