瘤痢,瘤痢疙,老矫,扁柯(∑C),嚼档(%)
156,堡林,2020-01-01 00:00,-4.9,50
156,堡林,2020-01-01 01:00,-4.6,48
156,堡林,2020-01-01 02:00,-4.7,50
156,堡林,2020-01-01 03:00,-4.5,52
156,堡林,2020-01-01 04:00,-3.5,48
156,堡林,2020-01-01 05:00,-3,51
156,堡林,2020-01-01 06:00,-3.6,58
156,堡林,2020-01-01 07:00,-3.8,59
156,堡林,2020-01-01 08:00,-3.7,59
156,堡林,2020-01-01 09:00,-2.5,54
156,堡林,2020-01-01 10:00,-1,53
156,堡林,2020-01-01 11:00,.2,50
156,堡林,2020-01-01 12:00,1.6,49
156,堡林,2020-01-01 13:00,3.1,51
156,堡林,2020-01-01 14:00,3.9,51
156,堡林,2020-01-01 15:00,4.3,50
156,堡林,2020-01-01 16:00,4.7,49
156,堡林,2020-01-01 17:00,3.8,51
156,堡林,2020-01-01 18:00,2.8,55
156,堡林,2020-01-01 19:00,2,59
156,堡林,2020-01-01 20:00,1.1,64
156,堡林,2020-01-01 21:00,.4,68
156,堡林,2020-01-01 22:00,.9,67
156,堡林,2020-01-01 23:00,-.1,71
156,堡林,2020-01-02 00:00,-.7,78
156,堡林,2020-01-02 01:00,-.8,81
156,堡林,2020-01-02 02:00,-1.5,83
156,堡林,2020-01-02 03:00,-1.3,84
156,堡林,2020-01-02 04:00,-1.5,83
156,堡林,2020-01-02 05:00,-2,86
156,堡林,2020-01-02 06:00,-2.5,88
156,堡林,2020-01-02 07:00,-2.4,89
156,堡林,2020-01-02 08:00,-2,87
156,堡林,2020-01-02 09:00,-.6,82
156,堡林,2020-01-02 10:00,.7,76
156,堡林,2020-01-02 11:00,3.4,64
156,堡林,2020-01-02 12:00,5.4,55
156,堡林,2020-01-02 13:00,6.7,50
156,堡林,2020-01-02 14:00,8,48
156,堡林,2020-01-02 15:00,8.4,46
156,堡林,2020-01-02 16:00,7.8,43
156,堡林,2020-01-02 17:00,6.7,47
156,堡林,2020-01-02 18:00,5.6,52
156,堡林,2020-01-02 19:00,4.6,61
156,堡林,2020-01-02 20:00,3.6,65
156,堡林,2020-01-02 21:00,2.9,70
156,堡林,2020-01-02 22:00,3.3,70
156,堡林,2020-01-02 23:00,3.2,69
156,堡林,2020-01-03 00:00,2.8,75
156,堡林,2020-01-03 01:00,2.9,76
156,堡林,2020-01-03 02:00,2.7,77
