month,hour,항목,2017 년,2018 년,2019 년,2020 년,2021 년
1,1,숙박업,1020.0,1001.0,995.0,975.0,1027
1,1,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,892.0,914.0,948.0,914.0,904
1,1,연구개발업,782.0,788.0,817.0,785.0,809
1,1,공공행정/ 국방 및 사회보장 행정,736.0,738.0,746.0,700.0,707
1,1,교육 서비스업,799.0,780.0,782.0,723.0,717
1,2,숙박업,961.0,946.0,940.0,920.0,980
1,2,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,885.0,907.0,943.0,905.0,902
1,2,연구개발업,771.0,780.0,809.0,777.0,802
1,2,공공행정/ 국방 및 사회보장 행정,725.0,728.0,737.0,690.0,698
1,2,교육 서비스업,789.0,774.0,778.0,715.0,716
1,3,숙박업,908.0,899.0,894.0,877.0,943
1,3,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,880.0,902.0,939.0,899.0,901
1,3,연구개발업,764.0,771.0,803.0,773.0,804
1,3,공공행정/ 국방 및 사회보장 행정,720.0,722.0,729.0,682.0,694
1,3,교육 서비스업,779.0,767.0,770.0,705.0,712
1,4,숙박업,873.0,865.0,863.0,850.0,920
1,4,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,877.0,898.0,937.0,897.0,892
1,4,연구개발업,760.0,768.0,800.0,770.0,801
1,4,공공행정/ 국방 및 사회보장 행정,717.0,720.0,727.0,679.0,694
1,4,교육 서비스업,767.0,758.0,765.0,697.0,708
1,5,숙박업,867.0,861.0,860.0,850.0,917
1,5,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,875.0,895.0,934.0,896.0,891
1,5,연구개발업,762.0,772.0,805.0,774.0,807
1,5,공공행정/ 국방 및 사회보장 행정,728.0,728.0,739.0,691.0,704
1,5,교육 서비스업,768.0,758.0,765.0,700.0,709
1,6,숙박업,895.0,893.0,891.0,887.0,937
1,6,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,883.0,899.0,941.0,904.0,899
1,6,연구개발업,778.0,794.0,825.0,804.0,829
1,6,공공행정/ 국방 및 사회보장 행정,771.0,769.0,783.0,740.0,749
1,6,교육 서비스업,789.0,775.0,784.0,724.0,729
