거래일,거래시간,전력거래량
2022-01-01,01,121.731269
2022-01-01,02,121.236797
2022-01-01,03,121.497826
2022-01-01,04,121.252978
2022-01-01,05,121.327319
2022-01-01,06,121.092121
2022-01-01,07,121.209274
2022-01-01,08,121.289158
2022-01-01,09,124.828561
2022-01-01,10,133.705557
2022-01-01,11,138.396952
2022-01-01,12,150.228727
2022-01-01,13,152.127309
2022-01-01,14,151.408951
2022-01-01,15,142.61189
2022-01-01,16,134.312594
2022-01-01,17,124.678144
2022-01-01,18,120.281236
2022-01-01,19,111.225887
2022-01-01,20,66.046033
2022-01-01,21,65.251117
2022-01-01,22,64.450073
2022-01-01,23,64.105947
2022-01-01,24,63.688176
2022-01-02,01,63.753539
2022-01-02,02,63.816624
2022-01-02,03,63.717725
2022-01-02,04,63.713816
2022-01-02,05,63.447785
2022-01-02,06,63.43555
2022-01-02,07,63.525589
2022-01-02,08,63.739371
2022-01-02,09,66.118771
2022-01-02,10,70.107367
2022-01-02,11,77.597823
2022-01-02,12,77.926722
2022-01-02,13,79.973042
2022-01-02,14,74.965783
2022-01-02,15,74.06137
2022-01-02,16,73.62992
2022-01-02,17,77.197843
2022-01-02,18,119.392196
2022-01-02,19,121.716246
2022-01-02,20,121.356375
2022-01-02,21,120.809699
2022-01-02,22,120.597237
2022-01-02,23,120.470419
2022-01-02,24,120.756983
2022-01-03,01,121.342417
2022-01-03,02,121.434619
2022-01-03,03,121.602572
2022-01-03,04,121.497159
2022-01-03,05,121.42107
2022-01-03,06,121.025493
2022-01-03,07,120.939108
2022-01-03,08,121.805153
2022-01-03,09,125.426303
2022-01-03,10,136.791752
2022-01-03,11,145.935484
2022-01-03,12,151.306417
2022-01-03,13,152.24269
2022-01-03,14,148.720611
2022-01-03,15,142.926798
2022-01-03,16,132.961359
2022-01-03,17,123.687066
2022-01-03,18,119.881357
2022-01-03,19,121.729089
2022-01-03,20,122.201592
2022-01-03,21,122.083298
2022-01-03,22,120.818468
2022-01-03,23,119.944571
2022-01-03,24,109.09815
2022-01-04,01,62.841787
2022-01-04,02,62.226444
2022-01-04,03,62.208179
2022-01-04,04,62.119398
2022-01-04,05,62.131733
2022-01-04,06,61.988264
2022-01-04,07,61.915231
2022-01-04,08,62.330922
2022-01-04,09,65.449778
2022-01-04,10,74.659032
2022-01-04,11,83.620345
2022-01-04,12,92.575476
2022-01-04,13,95.696133
2022-01-04,14,94.565405
2022-01-04,15,88.99
2022-01-04,16,79.193175
2022-01-04,17,68.858433
2022-01-04,18,65.245771
2022-01-04,19,65.851927
2022-01-04,20,75.589331
2022-01-04,21,120.697814
2022-01-04,22,120.481426
2022-01-04,23,120.284221
2022-01-04,24,120.584713
2022-01-05,01,120.632134
2022-01-05,02,120.718073
2022-01-05,03,120.565667
2022-01-05,04,120.409654
2022-01-05,05,120.311351
2022-01-05,06,120.326237
2022-01-05,07,120.446582
2022-01-05,08,120.588228
2022-01-05,09,121.053163
2022-01-05,10,123.290747
2022-01-05,11,126.518211
2022-01-05,12,131.994209
2022-01-05,13,131.086032
2022-01-05,14,126.332766
2022-01-05,15,123.075311
2022-01-05,16,120.59586
2022-01-05,17,119.120835
2022-01-05,18,120.023163
2022-01-05,19,119.785138
2022-01-05,20,118.859145
2022-01-05,21,118.806347
2022-01-05,22,118.817349
2022-01-05,23,118.882404
2022-01-05,24,108.436983
2022-01-06,01,63.105622
2022-01-06,02,62.714569
2022-01-06,03,62.770943
2022-01-06,04,62.827725
2022-01-06,05,62.79299
2022-01-06,06,63.007973
2022-01-06,07,63.175412
2022-01-06,08,63.528162
2022-01-06,09,67.117989
2022-01-06,10,77.723196
2022-01-06,11,87.475297
2022-01-06,12,94.779182
2022-01-06,13,97.438201
2022-01-06,14,96.143015
2022-01-06,15,90.805159
2022-01-06,16,80.111219
2022-01-06,17,69.399031
2022-01-06,18,65.254508
2022-01-06,19,75.547909
2022-01-06,20,121.909904
2022-01-06,21,122.067932
2022-01-06,22,121.457565
2022-01-06,23,121.284642
2022-01-06,24,121.327298
2022-01-07,01,121.466835
2022-01-07,02,121.71216
2022-01-07,03,121.938653
2022-01-07,04,122.000243
2022-01-07,05,121.933239
2022-01-07,06,121.849648
2022-01-07,07,121.820984
2022-01-07,08,122.032661
2022-01-07,09,125.448325
2022-01-07,10,136.642325
2022-01-07,11,146.233326
2022-01-07,12,151.882208
2022-01-07,13,152.660613
2022-01-07,14,150.356922
2022-01-07,15,145.098465
2022-01-07,16,135.223141
2022-01-07,17,124.349394
2022-01-07,18,120.686126
2022-01-07,19,121.84238
2022-01-07,20,122.125976
2022-01-07,21,121.627232
2022-01-07,22,121.269941
2022-01-07,23,121.390619
2022-01-07,24,121.411894
2022-01-08,01,121.606733
2022-01-08,02,121.688076
2022-01-08,03,110.843766
2022-01-08,04,64.239225
2022-01-08,05,63.638592
2022-01-08,06,63.541854
2022-01-08,07,63.554699
2022-01-08,08,63.703861
2022-01-08,09,67.184139
2022-01-08,10,77.964565
2022-01-08,11,86.933629
2022-01-08,12,92.79416
2022-01-08,13,94.010684
2022-01-08,14,92.980201
2022-01-08,15,88.053132
2022-01-08,16,77.90661
2022-01-08,17,68.255043
2022-01-08,18,64.682376
2022-01-08,19,65.13073
2022-01-08,20,65.068736
2022-01-08,21,64.303735
2022-01-08,22,63.616495
2022-01-08,23,63.468467
2022-01-08,24,63.042632
2022-01-09,01,63.032508
2022-01-09,02,63.005319
2022-01-09,03,62.881456
2022-01-09,04,62.776685
2022-01-09,05,62.730588
2022-01-09,06,62.67646
2022-01-09,07,62.655915
2022-01-09,08,62.843622
2022-01-09,09,63.66454
2022-01-09,10,68.256877
2022-01-09,11,78.478698
2022-01-09,12,84.225861
2022-01-09,13,84.031382
2022-01-09,14,76.514071
2022-01-09,15,72.709492
2022-01-09,16,70.318955
2022-01-09,17,82.151978
2022-01-09,18,119.657886
2022-01-09,19,120.642936
2022-01-09,20,120.189207
2022-01-09,21,119.28062
2022-01-09,22,119.073681
2022-01-09,23,119.246318
2022-01-09,24,119.493827
2022-01-10,01,119.987874
2022-01-10,02,120.144292
2022-01-10,03,120.409333
2022-01-10,04,120.595459
2022-01-10,05,120.446496
2022-01-10,06,120.560375
2022-01-10,07,120.702946
2022-01-10,08,120.933965
2022-01-10,09,123.98247
2022-01-10,10,130.575026
2022-01-10,11,139.475266
2022-01-10,12,144.847713
2022-01-10,13,145.562964
2022-01-10,14,143.624372
2022-01-10,15,138.059195
2022-01-10,16,128.987198
2022-01-10,17,120.211931
2022-01-10,18,118.577559
2022-01-10,19,119.728271
2022-01-10,20,119.58391
2022-01-10,21,118.61514
2022-01-10,22,118.033779
2022-01-10,23,117.900898
2022-01-10,24,107.424665
2022-01-11,01,62.119319
2022-01-11,02,61.999324
2022-01-11,03,62.050874
2022-01-11,04,62.145905
2022-01-11,05,62.176167
2022-01-11,06,62.478241
2022-01-11,07,62.831009
2022-01-11,08,63.145199
2022-01-11,09,63.695335
2022-01-11,10,65.156807
2022-01-11,11,71.537682
2022-01-11,12,72.92404
2022-01-11,13,78.470566
2022-01-11,14,74.787735
2022-01-11,15,75.063263
2022-01-11,16,70.772295
2022-01-11,17,75.070513
2022-01-11,18,121.68692
2022-01-11,19,122.050167
2022-01-11,20,121.183501
2022-01-11,21,121.210994
2022-01-11,22,121.391849
2022-01-11,23,121.47455
2022-01-11,24,121.413859
2022-01-12,01,121.195106
2022-01-12,02,121.267648
2022-01-12,03,121.313294
2022-01-12,04,121.442953
2022-01-12,05,121.606815
2022-01-12,06,121.542496
2022-01-12,07,121.635054
2022-01-12,08,121.867563
2022-01-12,09,122.618753
2022-01-12,10,126.937818
2022-01-12,11,134.861046
2022-01-12,12,141.385248
2022-01-12,13,138.126997
2022-01-12,14,131.288309
2022-01-12,15,130.345808
2022-01-12,16,129.794322
2022-01-12,17,125.648271
2022-01-12,18,122.249176
2022-01-12,19,121.813912
2022-01-12,20,121.223965
2022-01-12,21,120.400395
2022-01-12,22,120.410732
2022-01-12,23,120.692732
2022-01-12,24,120.856253
2022-01-13,01,120.890683
2022-01-13,02,120.869542
2022-01-13,03,121.1143
2022-01-13,04,120.842202
2022-01-13,05,120.949569
2022-01-13,06,121.043461
2022-01-13,07,120.994482
2022-01-13,08,121.056173
2022-01-13,09,121.247454
2022-01-13,10,127.420388
2022-01-13,11,141.71514
2022-01-13,12,135.428613
2022-01-13,13,135.902621
2022-01-13,14,139.338886
2022-01-13,15,136.196541
2022-01-13,16,130.569704
2022-01-13,17,125.483604
2022-01-13,18,122.722419
2022-01-13,19,122.726943
2022-01-13,20,121.476657
2022-01-13,21,120.734632
2022-01-13,22,120.29333
2022-01-13,23,120.917481
2022-01-13,24,121.107359
2022-01-14,01,121.144894
2022-01-14,02,121.258871
2022-01-14,03,121.382317
2022-01-14,04,121.513474
2022-01-14,05,121.563773
2022-01-14,06,121.375302
2022-01-14,07,121.6233
2022-01-14,08,121.843867
2022-01-14,09,123.614204
2022-01-14,10,132.859764
2022-01-14,11,146.697844
2022-01-14,12,153.152547
2022-01-14,13,155.890409
2022-01-14,14,154.594725
2022-01-14,15,150.198402
2022-01-14,16,139.296116
2022-01-14,17,125.763949
2022-01-14,18,122.003993
2022-01-14,19,122.502042
2022-01-14,20,122.826186
2022-01-14,21,122.176731
2022-01-14,22,121.428751
2022-01-14,23,121.294362
2022-01-14,24,121.153317
2022-01-15,01,120.997534
2022-01-15,02,121.214527
2022-01-15,03,121.26779
2022-01-15,04,121.160603
2022-01-15,05,120.987062
2022-01-15,06,121.142004
2022-01-15,07,121.211706
2022-01-15,08,121.325457
2022-01-15,09,125.331362
2022-01-15,10,129.607173
2022-01-15,11,123.336584
2022-01-15,12,91.053251
2022-01-15,13,89.250555
2022-01-15,14,77.919259
2022-01-15,15,72.366995
2022-01-15,16,74.078098
2022-01-15,17,67.151707
2022-01-15,18,64.166915
2022-01-15,19,64.505449
2022-01-15,20,63.982707
2022-01-15,21,63.302754
2022-01-15,22,62.986908
2022-01-15,23,62.745083
2022-01-15,24,62.81241
2022-01-16,01,62.691126
2022-01-16,02,62.711619
2022-01-16,03,62.65958
2022-01-16,04,62.623521
2022-01-16,05,62.660326
2022-01-16,06,62.556821
2022-01-16,07,62.320615
2022-01-16,08,62.24266
2022-01-16,09,63.516131
2022-01-16,10,69.357894
2022-01-16,11,76.116642
2022-01-16,12,82.358379
2022-01-16,13,91.280536
2022-01-16,14,88.814062
2022-01-16,15,81.930007
2022-01-16,16,73.053027
2022-01-16,17,76.373488
2022-01-16,18,121.400908
2022-01-16,19,122.638918
2022-01-16,20,122.266581
2022-01-16,21,121.067953
2022-01-16,22,120.310229
2022-01-16,23,120.254993
2022-01-16,24,120.283316
2022-01-17,01,120.394134
2022-01-17,02,120.393086
2022-01-17,03,120.415756
2022-01-17,04,120.587965
2022-01-17,05,120.620855
2022-01-17,06,120.898183
2022-01-17,07,121.054351
2022-01-17,08,121.237083
2022-01-17,09,123.700438
2022-01-17,10,133.174221
2022-01-17,11,137.223679
2022-01-17,12,142.51844
2022-01-17,13,138.611327
2022-01-17,14,132.669203
2022-01-17,15,134.249421
2022-01-17,16,129.516682
2022-01-17,17,123.53426
2022-01-17,18,121.266841
2022-01-17,19,121.083256
2022-01-17,20,120.282439
2022-01-17,21,119.172783
2022-01-17,22,119.30062
2022-01-17,23,119.683614
2022-01-17,24,120.25179
2022-01-18,01,120.570315
2022-01-18,02,120.804225
2022-01-18,03,121.040979
2022-01-18,04,121.182276
2022-01-18,05,121.347181
2022-01-18,06,121.428583
2022-01-18,07,121.549665
2022-01-18,08,121.926421
2022-01-18,09,126.069002
2022-01-18,10,137.650259
2022-01-18,11,148.871902
2022-01-18,12,155.087478
2022-01-18,13,156.768329
2022-01-18,14,155.213158
2022-01-18,15,150.189373
2022-01-18,16,140.782226
2022-01-18,17,127.444779
2022-01-18,18,121.204317
2022-01-18,19,121.312912
2022-01-18,20,121.599564
2022-01-18,21,120.858792
2022-01-18,22,109.48271
2022-01-18,23,63.187354
2022-01-18,24,62.540194
2022-01-19,01,62.372496
2022-01-19,02,62.369184
2022-01-19,03,62.291744
2022-01-19,04,62.142322
2022-01-19,05,61.987476
2022-01-19,06,61.995904
2022-01-19,07,62.138762
2022-01-19,08,62.464
2022-01-19,09,65.879429
2022-01-19,10,75.122808
2022-01-19,11,84.139803
2022-01-19,12,90.383508
2022-01-19,13,93.003879
2022-01-19,14,92.35139
2022-01-19,15,86.99613
2022-01-19,16,77.592445
2022-01-19,17,64.177535
2022-01-19,18,62.726686
2022-01-19,19,64.014432
2022-01-19,20,63.949852
2022-01-19,21,79.528712
2022-01-19,22,118.075728
2022-01-19,23,118.354946
2022-01-19,24,118.297864
2022-01-20,01,118.740083
2022-01-20,02,120.332377
2022-01-20,03,120.844881
2022-01-20,04,121.1869
2022-01-20,05,121.485551
2022-01-20,06,121.77075
2022-01-20,07,121.650455
2022-01-20,08,122.078959
2022-01-20,09,126.185947
2022-01-20,10,137.764419
2022-01-20,11,147.897718
2022-01-20,12,154.095228
2022-01-20,13,155.81286
2022-01-20,14,154.278114
2022-01-20,15,149.460814
2022-01-20,16,140.398007
2022-01-20,17,128.136092
2022-01-20,18,122.757993
2022-01-20,19,122.86178
2022-01-20,20,122.696271
2022-01-20,21,121.325674
2022-01-20,22,120.357272
2022-01-20,23,120.094006
2022-01-20,24,120.023644
2022-01-21,01,120.116898
2022-01-21,02,120.331692
2022-01-21,03,120.218426
2022-01-21,04,120.400526
2022-01-21,05,120.251488
2022-01-21,06,120.259252
2022-01-21,07,120.299946
2022-01-21,08,120.602388
2022-01-21,09,124.602613
2022-01-21,10,136.100927
2022-01-21,11,144.716038
2022-01-21,12,151.084066
2022-01-21,13,150.502153
2022-01-21,14,146.36033
2022-01-21,15,142.452223
2022-01-21,16,131.457955
2022-01-21,17,123.175927
2022-01-21,18,118.679848
2022-01-21,19,118.735206
2022-01-21,20,120.30554
2022-01-21,21,119.919343
2022-01-21,22,119.548031
2022-01-21,23,119.307718
2022-01-21,24,108.692141
2022-01-22,01,62.842296
2022-01-22,02,62.366907
2022-01-22,03,62.343569
2022-01-22,04,62.236652
2022-01-22,05,62.149858
2022-01-22,06,61.98814
2022-01-22,07,61.981188
2022-01-22,08,79.761765
2022-01-22,09,120.297061
2022-01-22,10,122.963081
2022-01-22,11,126.121548
2022-01-22,12,131.984911
2022-01-22,13,135.548494
2022-01-22,14,128.489657
2022-01-22,15,119.552221
2022-01-22,16,69.187131
2022-01-22,17,63.296332
2022-01-22,18,62.779545
2022-01-22,19,62.642401
2022-01-22,20,61.873609
2022-01-22,21,61.192584
2022-01-22,22,61.062158
2022-01-22,23,60.753391
2022-01-22,24,60.411397
2022-01-23,01,60.323166
2022-01-23,02,60.437518
2022-01-23,03,60.308349
2022-01-23,04,60.435785
2022-01-23,05,60.419661
2022-01-23,06,60.258292
2022-01-23,07,60.205784
2022-01-23,08,60.427413
2022-01-23,09,62.861286
2022-01-23,10,66.75049
2022-01-23,11,67.703484
2022-01-23,12,69.311818
2022-01-23,13,68.901754
2022-01-23,14,71.662952
2022-01-23,15,70.894792
2022-01-23,16,65.858672
2022-01-23,17,62.924026
2022-01-23,18,61.72518
2022-01-23,19,61.353407
2022-01-23,20,60.784571
2022-01-23,21,60.284029
2022-01-23,22,60.361116
2022-01-23,23,60.40332
2022-01-23,24,60.556317
2022-01-24,01,60.763589
2022-01-24,02,60.844067
2022-01-24,03,60.980838
2022-01-24,04,61.036756
2022-01-24,05,61.043243
2022-01-24,06,61.025864
2022-01-24,07,61.099053
2022-01-24,08,68.843183
2022-01-24,09,117.0941
2022-01-24,10,126.770067
2022-01-24,11,131.229219
2022-01-24,12,137.069092
2022-01-24,13,136.327876
2022-01-24,14,129.550501
2022-01-24,15,121.756614
2022-01-24,16,118.807453
2022-01-24,17,115.416674
2022-01-24,18,115.949751
2022-01-24,19,116.554439
2022-01-24,20,115.739811
2022-01-24,21,115.212203
2022-01-24,22,115.213542
2022-01-24,23,115.266715
2022-01-24,24,105.983028
2022-01-25,01,61.525831
2022-01-25,02,61.259952
2022-01-25,03,61.270179
2022-01-25,04,61.266009
2022-01-25,05,61.18885
2022-01-25,06,61.237668
2022-01-25,07,61.4087
2022-01-25,08,61.471548
2022-01-25,09,61.955146
2022-01-25,10,63.900423
2022-01-25,11,67.306504
2022-01-25,12,66.721138
2022-01-25,13,68.200329
2022-01-25,14,67.733289
2022-01-25,15,67.019017
2022-01-25,16,65.537224
2022-01-25,17,61.857653
2022-01-25,18,62.312161
2022-01-25,19,61.788687
2022-01-25,20,61.481583
2022-01-25,21,61.713782
2022-01-25,22,61.717789
2022-01-25,23,61.897361
2022-01-25,24,62.093085
2022-01-26,01,62.272752
2022-01-26,02,62.289473
2022-01-26,03,62.329571
2022-01-26,04,62.339721
2022-01-26,05,62.174538
2022-01-26,06,62.182426
2022-01-26,07,71.818066
2022-01-26,08,118.119513
2022-01-26,09,121.515197
2022-01-26,10,129.752149
2022-01-26,11,136.549647
2022-01-26,12,136.532938
2022-01-26,13,135.691935
2022-01-26,14,133.996393
2022-01-26,15,134.481034
2022-01-26,16,129.252941
2022-01-26,17,122.688201
2022-01-26,18,119.992628
2022-01-26,19,119.885948
2022-01-26,20,119.868741
2022-01-26,21,118.629677
2022-01-26,22,107.841065
2022-01-26,23,62.630686
2022-01-26,24,62.341107
2022-01-27,01,62.370274
2022-01-27,02,62.404108
2022-01-27,03,62.366084
2022-01-27,04,62.507416
2022-01-27,05,62.463499
2022-01-27,06,62.5152
2022-01-27,07,78.967929
2022-01-27,08,119.239479
2022-01-27,09,123.439042
2022-01-27,10,132.140863
2022-01-27,11,139.952632
2022-01-27,12,146.189624
2022-01-27,13,149.633229
2022-01-27,14,148.752063
2022-01-27,15,146.334786
2022-01-27,16,139.205441
2022-01-27,17,127.284701
2022-01-27,18,121.227268
2022-01-27,19,121.190498
2022-01-27,20,121.417542
2022-01-27,21,120.526198
2022-01-27,22,109.281271
2022-01-27,23,63.917606
2022-01-27,24,63.026067
2022-01-28,01,62.926623
2022-01-28,02,62.837714
2022-01-28,03,62.755774
2022-01-28,04,62.671958
2022-01-28,05,62.676365
2022-01-28,06,62.81508
2022-01-28,07,79.536857
2022-01-28,08,120.186044
2022-01-28,09,124.315326
2022-01-28,10,136.691763
2022-01-28,11,147.12782
2022-01-28,12,153.019854
2022-01-28,13,155.114119
2022-01-28,14,150.84765
2022-01-28,15,147.094341
2022-01-28,16,142.658065
2022-01-28,17,129.876085
2022-01-28,18,122.447009
2022-01-28,19,121.696879
2022-01-28,20,122.08542
2022-01-28,21,121.130471
2022-01-28,22,120.338467
2022-01-28,23,119.924736
2022-01-28,24,119.683111
2022-01-29,01,119.412472
2022-01-29,02,119.404033
2022-01-29,03,119.327109
2022-01-29,04,119.338191
2022-01-29,05,119.17879
2022-01-29,06,119.358337
2022-01-29,07,108.934703
2022-01-29,08,63.33687
2022-01-29,09,65.642341
2022-01-29,10,74.41269
2022-01-29,11,86.184352
2022-01-29,12,88.569595
2022-01-29,13,94.998401
2022-01-29,14,96.812581
