year,month,day,hour,use,temp,humid
2017,1,1,1,134.45902325386373,1.3,93.0
2017,1,1,2,133.9128511594417,0.9,95.0
2017,1,1,3,134.201172349792,0.7,95.0
2017,1,1,4,133.93072398269527,0.3,97.0
2017,1,1,5,134.0128377923173,-0.3,97.0
2017,1,1,6,133.75304839218165,0.2,97.0
2017,1,1,7,133.8824504602013,0.6,96.0
2017,1,1,8,133.97068682462805,0.5,97.0
2017,1,1,9,137.8801562172604,1.5,94.0
2017,1,1,10,147.6852968470558,2.8,87.0
2017,1,1,11,152.86720610159634,4.7,78.0
2017,1,1,12,165.93606608250627,6.7,68.0
2017,1,1,13,168.03315652922927,9.9,57.0
2017,1,1,14,167.23968977397348,10.0,54.0
2017,1,1,15,157.52284184096902,10.5,56.0
2017,1,1,16,148.35580330582735,10.1,55.0
2017,1,1,17,137.71401219307566,9.7,57.0
2017,1,1,18,132.8573803689459,8.4,64.0
2017,1,1,19,122.85523883403056,7.1,72.0
2017,1,1,20,72.9515527105238,6.0,76.0
2017,1,1,21,72.07352334463533,5.0,81.0
2017,1,1,22,71.18872525858755,4.5,84.0
2017,1,1,23,70.80861876486276,4.4,85.0
2017,1,1,24,70.34716723260452,3.2,90.0
2017,1,2,1,70.4193643370062,3.3,93.0
2017,1,2,2,70.48904526247138,4.1,90.0
2017,1,2,3,70.37980576262862,3.9,91.0
2017,1,2,4,70.37548805259227,3.8,92.0
2017,1,2,5,70.0816418723208,4.0,91.0
2017,1,2,6,70.06812762768156,3.2,95.0
2017,1,2,7,70.16758075993104,2.8,97.0
2017,1,2,8,70.40371498530627,3.1,95.0
2017,1,2,9,73.03189591661852,4.2,92.0
2017,1,2,10,77.43752420522421,6.0,81.0
2017,1,2,11,85.71115353448097,8.0,71.0
2017,1,2,12,86.07444095153049,10.4,61.0
2017,1,2,13,88.33471631648088,11.8,61.0
2017,1,2,14,82.80391753445947,12.9,57.0
2017,1,2,15,81.80494258252583,11.8,61.0
2017,1,2,16,81.32838182653076,11.1,70.0
2017,1,2,17,85.26935316089676,10.5,77.0
2017,1,2,18,131.87538575888712,9.8,81.0
2017,1,2,19,134.44242950664548,9.0,86.0
2017,1,2,20,134.04493177615365,8.4,90.0
2017,1,2,21,133.44109743186263,7.6,91.0
2017,1,2,22,133.20642122062094,6.8,90.0
2017,1,2,23,133.06634361729778,6.7,86.0
2017,1,2,24,133.38286964923884,6.5,81.0
2017,1,3,1,134.02951438124768,5.9,83.0
2017,1,3,2,134.13135666847506,5.5,79.0
2017,1,3,3,134.3168701895126,5.1,82.0
2017,1,3,4,134.20043561083207,4.2,85.0
2017,1,3,5,134.11639103703928,3.2,85.0
2017,1,3,6,133.67945402423533,2.9,84.0
2017,1,3,7,133.58403694020095,2.0,86.0
2017,1,3,8,134.54063228131986,2.1,84.0
2017,1,3,9,138.5403958265083,3.7,75.0
2017,1,3,10,151.09417255072535,5.5,64.0
2017,1,3,11,161.19393807288628,6.9,61.0
2017,1,3,12,167.1264352124827,7.7,57.0
2017,1,3,13,168.1606013237303,9.2,50.0
2017,1,3,14,164.27026726204443,9.8,43.0
