0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,공용공간,공용공간,공용공간,0,0,0,0,0,공용공간,공용공간,0,0,0,0,0,공용공간,공용공간,공용공간,0
0,연구공간,연구공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,연구공간,연구공간,0
0,연구공간,연구공간,공용공간,교수연구,강의지원,교수연구,교수연구,교수연구,강의지원,강의지원,교수연구,교수연구,교수연구,강의지원,교수연구,공용공간,연구공간,연구공간,0
0,0,0,공용공간,0,0,0,0,0,0,0,0,0,0,0,0,공용공간,0,0,0
0,0,0,공용공간,0,0,0,0,0,0,0,0,0,0,0,0,공용공간,0,0,0
0,0,0,공용공간,0,0,0,0,0,공용공간,공용공간,0,0,0,0,0,공용공간,0,0,0
0,0,0,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,0,0,0
0,0,0,공용공간,연구공간,연구공간,연구공간,연구공간,연구공간,연구공간,강의지원,강의지원,교수연구,연구공간,교수연구,교수연구,공용공간,0,0,0
0,공용공간,공용공간,공용공간,0,0,0,0,0,공용공간,공용공간,0,0,0,0,0,공용공간,공용공간,공용공간,0
0,연구공간,연구공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,연구공간,연구공간,0
0,연구공간,연구공간,공용공간,행정지원,교수연구,행정지원,강의지원,강의지원,교수연구,교수연구,연구공간,행정지원,강의지원,교수연구,강의지원,공용공간,연구공간,연구공간,0
0,0,0,공용공간,0,0,0,0,0,0,0,0,0,0,0,0,공용공간,0,0,0
0,0,0,공용공간,0,0,0,0,0,0,0,0,0,0,0,0,공용공간,0,0,0
강의지원,강의지원,강의지원,공용공간,0,0,0,0,0,공용공간,공용공간,0,0,0,0,0,공용공간,강의지원,강의지원,강의지원
강의지원,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간
강의지원,강의지원,강의지원,공용공간,교수연구,교수연구,교수연구,교수연구,교수연구,행정지원,행정지원,강의지원,교수연구,연구공간,교수연구,교수연구,공용공간,강의지원,강의지원,강의지원
0,공용공간,공용공간,공용공간,0,0,0,0,0,공용공간,공용공간,0,0,0,0,0,공용공간,공용공간,공용공간,0
0,연구공간,연구공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,연구공간,연구공간,0
0,연구공간,연구공간,공용공간,교수연구,교수연구,강의지원,연구공간,연구공간,연구공간,연구공간,강의지원,교수연구,교수연구,강의지원,행정지원,공용공간,연구공간,연구공간,0
0,0,연구공간,공용공간,0,0,0,0,0,0,0,0,0,0,0,0,공용공간,연구공간,0,0
0,0,연구공간,공용공간,0,0,0,0,0,0,0,0,0,0,0,0,공용공간,연구공간,0,0
0,0,행정지원,공용공간,0,0,0,0,0,공용공간,공용공간,공용공간,0,0,0,0,공용공간,연구공간,연구공간,연구공간
학생자율,학생자율,행정지원,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,공용공간,연구공간
연구공간,연구공간,연구공간,공용공간,강의지원,강의지원,연구공간,연구공간,교수연구,행정지원,강의지원,강의지원,연구공간,연구공간,학술지원,학생자율,공용공간,연구공간,연구공간,연구공간
